epoch,loss,mae,absrel,mse,rmse,imae,irmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,-1.49646257154685,430.10457177450724,0.02472510536167102,3870045.4092346444,1566.415726849015,38.87941819804242,5710.254597157815,98.22820621764603,99.0775663476962,99.37615420210716,0.8019962223914703,0.008095729159249668,
1,-2.199033466063446,278.2161935824349,0.014548640834133902,1555788.2519252487,1203.2095972177178,46.69973962744661,3953.468645280631,99.39434359894051,99.79190175228922,99.90818005740155,0.8018250535560261,0.008806078366654396,
2,-2.3575356179813967,263.11290000800597,0.013360890864842974,1526943.5008462071,1189.6445728447009,59.32836639061499,4906.514285423205,99.46875597380402,99.80913988223672,99.91336234188925,0.8016222773915234,0.008700039198619029,
3,-2.428170670108384,257.3795015150827,0.012998659026668153,1510492.0005318809,1183.4371331295442,33.45322876561909,2828.6917952919503,99.48992914947998,99.81349454040108,99.91379046747106,0.8016560902908941,0.00888155450332195,
4,-2.467748547474116,255.19787246536055,0.012858531078916009,1508145.7017028918,1181.6115702880923,25.318357264750766,1912.0933455062695,99.49517732593726,99.81328994032252,99.91252502467697,0.8002500982150651,0.007179711350140304,
5,-2.5696408252936456,251.74155411867605,0.012589148451189705,1502488.4138840544,1180.1787863648394,6.064157219698505,226.30633241775155,99.49931013070929,99.81266475523744,99.91099969165373,0.8009839745272208,0.008550493105839716,
6,-2.594205385308536,250.69290808909247,0.012512405440450692,1509425.333890923,1182.4335832078204,5.7270645873893935,304.34338840621837,99.50299548656467,99.81271080729952,99.91059361402557,0.800924641413945,0.008514989443537426,
7,-2.6015193467158872,250.11309989249378,0.012485808288241933,1508254.8163614112,1182.019199863156,5.220538166605215,153.50428641133115,99.5042586797452,99.81263178855777,99.91040217304938,0.8004612877037576,0.00782142142571821,
8,-2.6102007932443554,249.51654573996694,0.012452704112491667,1506864.1029804244,1181.6870644307999,9.365593608742602,815.1757475533386,99.50584447575119,99.81285598713315,99.9104585753944,0.8002710962643037,0.00711925241977095,
9,-2.6174590526229213,249.1359754687302,0.012435180218252571,1506717.2915121715,1181.250455561669,7.39510989393571,605.9200266881253,99.5064623430196,99.81280810948054,99.91035605135302,0.8014787949156591,0.008736388314552736,
